,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn
119,C5-e003Coalescence-mGAM-p7,False,C5-e003Coalescence-mGAM-p7,True,C5,False,7,mGAM,mBHI,AE-AF,C5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI
121,A2-e003Coalescence-mBHI-p7,False,A2-e003Coalescence-mBHI-p7,True,A2,False,7,mBHI,mBHI,AA-AA,A2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI
122,A10-e003Coalescence-mBHI-p5,False,A10-e003Coalescence-mBHI-p5,True,A10,False,5,mBHI,mGAM,AA-AE,A10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM
124,D2-e003Coalescence-mBHI-p7,False,D2-e003Coalescence-mBHI-p7,True,D2,False,7,mBHI,mBHI,AF-AA,D2-AF-AA-mBHI-mBHI,AF-AA-mBHI-mBHI,AF-AA-mBHI
127,A4-e003Coalescence-mGAM-p5,False,A4-e003Coalescence-mGAM-p5,True,A4,False,5,mGAM,mBHI,AA-AE,A4-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI
128,D5-e003Coalescence-mBHI-p5,False,D5-e003Coalescence-mBHI-p5,True,D5,False,5,mBHI,mBHI,AF-AF,D5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI
131,D4-e003Coalescence-mGAM-p7,False,D4-e003Coalescence-mGAM-p7,True,D4,False,7,mGAM,mBHI,AF-AE,D4-AF-AE-mBHI-mGAM,AF-AE-mBHI-mGAM,AF-AE-mBHI
133,A8-e003Coalescence-mBHI-p7,False,A8-e003Coalescence-mBHI-p7,True,A8,False,7,mBHI,mGAM,AA-AA,A8-AA-AA-mGAM-mBHI,AA-AA-mGAM-mBHI,AA-AA-mGAM
137,C4-e003Coalescence-mGAM-p3,False,C4-e003Coalescence-mGAM-p3,True,C4,False,3,mGAM,mBHI,AE-AE,C4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI
139,D5-e003Coalescence-mGAM-p7,False,D5-e003Coalescence-mGAM-p7,True,D5,False,7,mGAM,mBHI,AF-AF,D5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI
140,C5-e003Coalescence-mBHI-p5,False,C5-e003Coalescence-mBHI-p5,True,C5,False,5,mBHI,mBHI,AE-AF,C5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI
141,C5-e003Coalescence-mGAM-p3,False,C5-e003Coalescence-mGAM-p3,True,C5,False,3,mGAM,mBHI,AE-AF,C5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI
145,A11-e003Coalescence-mBHI-p7,False,A11-e003Coalescence-mBHI-p7,True,A11,False,7,mBHI,mGAM,AA-AF,A11-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM
147,A4-e003Coalescence-mGAM-p3,False,A4-e003Coalescence-mGAM-p3,True,A4,False,3,mGAM,mBHI,AA-AE,A4-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI
149,C3-e003Coalescence-mGAM-p5,False,C3-e003Coalescence-mGAM-p5,True,C3,False,5,mGAM,mBHI,AE-AC/PP,C3-AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI
153,A10-e003Coalescence-mGAM-p3,False,A10-e003Coalescence-mGAM-p3,True,A10,False,3,mGAM,mGAM,AA-AE,A10-AA-AE-mGAM-mGAM,AA-AE-mGAM-mGAM,AA-AE-mGAM
154,A9-e003Coalescence-mBHI-p3,False,A9-e003Coalescence-mBHI-p3,True,A9,False,3,mBHI,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM
156,D3-e003Coalescence-mBHI-p7,False,D3-e003Coalescence-mBHI-p7,True,D3,False,7,mBHI,mBHI,AF-AC/PP,D3-AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI
157,D11-e003Coalescence-mGAM-p3,False,D11-e003Coalescence-mGAM-p3,True,D11,False,3,mGAM,mGAM,AF-AF,D11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM
158,C3-e003Coalescence-mBHI-p5,False,C3-e003Coalescence-mBHI-p5,True,C3,False,5,mBHI,mBHI,AE-AC/PP,C3-AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI
162,A9-e003Coalescence-mBHI-p5,False,A9-e003Coalescence-mBHI-p5,True,A9,False,5,mBHI,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM
164,B2-e003Coalescence-mGAM-p3,False,B2-e003Coalescence-mGAM-p3,True,B2,False,3,mGAM,mBHI,AC/PP-AA,B2-AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI
166,C11-e003Coalescence-mGAM-p5,False,C11-e003Coalescence-mGAM-p5,True,C11,False,5,mGAM,mGAM,AE-AF,C11-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AE-AF-mGAM
169,A8-e003Coalescence-mBHI-p5,False,A8-e003Coalescence-mBHI-p5,True,A8,False,5,mBHI,mGAM,AA-AA,A8-AA-AA-mGAM-mBHI,AA-AA-mGAM-mBHI,AA-AA-mGAM
172,D9-e003Coalescence-mBHI-p3,False,D9-e003Coalescence-mBHI-p3,True,D9,False,3,mBHI,mGAM,AF-AC/PP,D9-AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM
173,C5-e003Coalescence-mGAM-p5,False,C5-e003Coalescence-mGAM-p5,True,C5,False,5,mGAM,mBHI,AE-AF,C5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI
175,A5-e003Coalescence-mBHI-p7,False,A5-e003Coalescence-mBHI-p7,True,A5,False,7,mBHI,mBHI,AA-AF,A5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI
178,D2-e003Coalescence-mGAM-p5,False,D2-e003Coalescence-mGAM-p5,True,D2,False,5,mGAM,mBHI,AF-AA,D2-AF-AA-mBHI-mGAM,AF-AA-mBHI-mGAM,AF-AA-mBHI
180,D3-e003Coalescence-mGAM-p3,False,D3-e003Coalescence-mGAM-p3,True,D3,False,3,mGAM,mBHI,AF-AC/PP,D3-AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI
182,D9-e003Coalescence-mGAM-p3,False,D9-e003Coalescence-mGAM-p3,True,D9,False,3,mGAM,mGAM,AF-AC/PP,D9-AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM
184,D3-e003Coalescence-mGAM-p5,False,D3-e003Coalescence-mGAM-p5,True,D3,False,5,mGAM,mBHI,AF-AC/PP,D3-AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI
