,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
F8-e003Coalescence-mGAM-p3_S165,0.25,0.0
G3-e003Coalescence-mBHI-p5_S26,0.25,0.0
G5-e003Coalescence-mBHI-p5_S28,0.25,0.0
H111-e003Coalescence-mGAM-p5_S92,0.0,0.0
G4-e003Coalescence-mBHI-p3_S35,0.25,0.0
H9-e003Coalescence-mGAM-p5_S90,0.25,0.0
H2-e003Coalescence-mBHI-p3_S45,0.25,0.0
E8-e003Coalescence-mBHI-p7_S101,0.645,0.7999999999999999
H2-e003Coalescence-mGAM-p3_S93,0.25,0.0
E4-e003Coalescence-mGAM-p5_S51,0.25,0.0
G9-e003Coalescence-mGAM-p7_S174,0.2395,0.0
F2-e003Coalescence-mBHI-p3_S21,0.0,0.0
E8-e003Coalescence-mGAM-p3_S153,0.25,0.0
G111-e003Coalescence-mGAM-p3_S180,0.25,0.0
G5-e003Coalescence-mGAM-p3_S84,0.25,0.0
H8-e003Coalescence-mBHI-p5_S41,0.0,0.0
E100-e003Coalescence-mBHI-p5_S7,0.25,0.0
G100-e003Coalescence-mGAM-p7_S175,0.25,0.0
F9-e003Coalescence-mGAM-p7_S162,0.25,0.0
F8-e003Coalescence-mGAM-p7_S161,0.25,0.0
F3-e003Coalescence-mBHI-p3_S22,0.25,0.0
G3-e003Coalescence-mBHI-p7_S122,0.25,0.0
G5-e003Coalescence-mGAM-p5_S76,0.25,0.0
G5-e003Coalescence-mGAM-p7_S172,0.25,0.0
G4-e003Coalescence-mGAM-p5_S75,0.25,0.0
G8-e003Coalescence-mBHI-p3_S129,0.25,0.0
E5-e003Coalescence-mGAM-p3_S60,0.25,0.0
G2-e003Coalescence-mGAM-p5_S73,0.25,0.0
E5-e003Coalescence-mGAM-p7_S148,0.0,0.0
H9-e003Coalescence-mGAM-p7_S186,0.25,0.0
E100-e003Coalescence-mGAM-p5_S55,0.25,0.0
E8-e003Coalescence-mGAM-p5_S53,0.8162499999999999,1.0
H5-e003Coalescence-mGAM-p3_S96,0.0,0.0
G4-e003Coalescence-mGAM-p3_S83,0.25,0.0
F4-e003Coalescence-mBHI-p7_S111,0.25,0.0
H3-e003Coalescence-mGAM-p7_S182,0.25,0.0
H5-e003Coalescence-mGAM-p5_S88,0.0,0.0
F4-e003Coalescence-mGAM-p5_S63,0.25,0.0
G4-e003Coalescence-mGAM-p7_S171,0.25,0.0
H8-e003Coalescence-mGAM-p5_S89,0.0,0.03375
F3-e003Coalescence-mBHI-p5_S14,0.25,0.0
F100-e003Coalescence-mBHI-p7_S115,0.25,0.0
E3-e003Coalescence-mGAM-p7_S146,0.25,0.0
F100-e003Coalescence-mGAM-p3_S167,0.25,0.0
G100-e003Coalescence-mBHI-p3_S131,0.7605,0.994
G4-e003Coalescence-mBHI-p7_S123,0.25,0.0
E9-e003Coalescence-mGAM-p3_S154,0.20625,0.0045
F3-e003Coalescence-mGAM-p5_S62,0.25,0.0
H4-e003Coalescence-mBHI-p7_S135,0.25,0.0
E3-e003Coalescence-mBHI-p5_S2,0.25,0.0
G111-e003Coalescence-mBHI-p7_S128,0.25,0.0
H3-e003Coalescence-mBHI-p5_S38,0.25,0.0
G3-e003Coalescence-mGAM-p3_S82,0.25,0.0
F111-e003Coalescence-mGAM-p3_S168,0.25,0.0
F3-e003Coalescence-mGAM-p7_S158,0.25,0.0
F8-e003Coalescence-mBHI-p7_S113,0.25,0.0
H4-e003Coalescence-mBHI-p3_S47,0.25,0.0
F100-e003Coalescence-mGAM-p5_S67,0.25,0.0
G8-e003Coalescence-mBHI-p7_S125,0.25,0.0
F4-e003Coalescence-mBHI-p5_S15,0.25,0.0
H111-e003Coalescence-mBHI-p5_S44,0.0,0.0
E111-e003Coalescence-mBHI-p7_S104,0.07775,0.02625
E2-e003Coalescence-mGAM-p3_S57,0.9305,0.37725
F2-e003Coalescence-mBHI-p5_S13,0.25,0.0
F4-e003Coalescence-mBHI-p3_S23,0.25,0.0
F2-e003Coalescence-mGAM-p3_S69,0.25,0.0
E9-e003Coalescence-mGAM-p5_S54,0.25,0.0
G3-e003Coalescence-mGAM-p5_S74,0.25,0.0
E111-e003Coalescence-mGAM-p5_S56,0.25,0.0
G100-e003Coalescence-mGAM-p5_S79,0.25,0.0
H100-e003Coalescence-mGAM-p5_S91,0.0,0.0
G9-e003Coalescence-mBHI-p3_S130,0.25,0.0
E4-e003Coalescence-mGAM-p7_S147,0.25,0.0
E4-e003Coalescence-mGAM-p3_S59,0.25,0.0
H4-e003Coalescence-mBHI-p5_S39,0.0,0.0
F4-e003Coalescence-mGAM-p3_S71,0.25,0.0
H100-e003Coalescence-mBHI-p7_S139,0.25,0.0
G8-e003Coalescence-mBHI-p5_S29,0.25,0.0
G8-e003Coalescence-mGAM-p7_S173,0.24875,0.0
E4-e003Coalescence-mBHI-p3_S11,0.25,0.0
E2-e003Coalescence-mGAM-p5_S49,0.91025,0.308
H9-e003Coalescence-mBHI-p5_S42,0.25,0.0
H111-e003Coalescence-mGAM-p3_S192,0.25,0.0
F5-e003Coalescence-mBHI-p3_S24,0.25,0.0
E8-e003Coalescence-mBHI-p3_S105,0.7925,0.966
