,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
H2-e003Coalescence-mGAM-p7_S181,0.0039441415730674815,0.0037544730940919204
H9-e003Coalescence-mGAM-p3_S190,0.06392934943372909,0.07701635339554948
E3-e003Coalescence-mBHI-p3_S10,0.5675,0.3475
H2-e003Coalescence-mGAM-p5_S85,0.17328679513998632,0.09981346202722145
G8-e003Coalescence-mGAM-p3_S177,0.1855,0.096
F2-e003Coalescence-mGAM-p7_S157,0.00777519114734543,0.006903048969810685
H3-e003Coalescence-mGAM-p3_S94,0.181,0.017949288170518926
H4-e003Coalescence-mGAM-p3_S95,0.036154125326595045,0.03313714739172725
E5-e003Coalescence-mBHI-p7_S100,0.013877535164496692,0.015954922818239046
G111-e003Coalescence-mBHI-p3_S132,0.16616440140081154,0.14997458921409684
F3-e003Coalescence-mGAM-p3_S70,0.03596025905647261,0.022292183996170778
E100-e003Coalescence-mBHI-p7_S103,0.385,0.37
F9-e003Coalescence-mGAM-p5_S66,0.006938767582248346,0.006605091554420971
G111-e003Coalescence-mGAM-p7_S176,0.44399999999999995,0.09902102579427789
H100-e003Coalescence-mGAM-p7_S187,0.519,0.014854583313532904
E100-e003Coalescence-mGAM-p3_S155,0.16799999999999998,0.1285
E3-e003Coalescence-mGAM-p5_S50,0.005091718096491698,0.004520580741291953
F5-e003Coalescence-mGAM-p3_S72,0.04077336356234972,0.02534017153485025
E9-e003Coalescence-mBHI-p7_S102,0.0545,0.0485
E5-e003Coalescence-mBHI-p5_S4,0.012920463773841748,0.012299135997887326
F111-e003Coalescence-mGAM-p7_S164,0.012489781648047022,0.014359430536415141
E111-e003Coalescence-mBHI-p5_S8,0.004408158228722479,0.004196175811043911
H100-e003Coalescence-mBHI-p5_S43,0.001787086042759451,0.001637957855864845
F2-e003Coalescence-mGAM-p5_S61,0.0165,0.0033025457772104857
F5-e003Coalescence-mBHI-p5_S16,0.010126849984902991,0.00963986334969547
F8-e003Coalescence-mGAM-p5_S65,0.018734672472070536,0.017833747196936624
H8-e003Coalescence-mBHI-p7_S137,0.0016727386135777264,0.0015922988568693413
G9-e003Coalescence-mGAM-p5_S78,0.02212939018859853,0.013718267074566633
E2-e003Coalescence-mBHI-p5_S1,0.9880132469811758,0.8694999999999999
E2-e003Coalescence-mBHI-p3_S9,0.9971939773418448,0.9465
G8-e003Coalescence-mGAM-p5_S77,0.189,0.197
G3-e003Coalescence-mBHI-p3_S34,0.0031440663655932337,0.0019490434095012703
G100-e003Coalescence-mBHI-p5_S31,0.003161341455514076,0.001959752439223805
F9-e003Coalescence-mBHI-p3_S118,0.031224454120117557,0.03589857634103785
E111-e003Coalescence-mBHI-p3_S108,0.005595281300544471,0.0051283680487196935
G3-e003Coalescence-mBHI-p5_S26,0.0023388786378193568,0.0014498981460924084
G5-e003Coalescence-mBHI-p5_S28,0.0029375226827858475,0.002692393225577839
H111-e003Coalescence-mGAM-p5_S92,0.0035018079387047728,0.003333410691016191
G4-e003Coalescence-mBHI-p3_S35,0.094,0.0013561784940636214
H9-e003Coalescence-mGAM-p5_S90,0.07050000000000001,0.0093861827352298
H2-e003Coalescence-mBHI-p3_S45,0.182,0.1075
E8-e003Coalescence-mBHI-p7_S101,0.9395,0.898
