,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
H5-e003Coalescence-mGAM-p3_S96,0.9898571113038995,0.9710914196945456
G4-e003Coalescence-mGAM-p3_S83,0.009823569687807513,0.076
F4-e003Coalescence-mBHI-p7_S111,0.005613468393032865,0.0038275460908595133
H3-e003Coalescence-mGAM-p7_S182,0.643,0.773
H5-e003Coalescence-mGAM-p5_S88,0.9920305874530639,0.9844529260265055
F4-e003Coalescence-mGAM-p5_S63,0.010642200495124807,0.011054755230461883
G4-e003Coalescence-mGAM-p7_S171,0.008807338340792944,0.009148762949347765
H8-e003Coalescence-mGAM-p5_S89,0.867,0.9899049402107937
F3-e003Coalescence-mBHI-p5_S14,0.005057679443227631,0.0043100799134440145
F100-e003Coalescence-mBHI-p7_S115,0.925,0.928
E3-e003Coalescence-mGAM-p7_S146,0.004602032646540457,0.0031378981465605017
F100-e003Coalescence-mGAM-p3_S167,0.333,0.084
G100-e003Coalescence-mBHI-p3_S131,-0.0,0.0018524173245014703
G4-e003Coalescence-mBHI-p7_S123,0.0026467648899792264,0.122
E9-e003Coalescence-mGAM-p3_S154,0.893,0.9815145167708145
F3-e003Coalescence-mGAM-p5_S62,0.007981650371343605,0.006801844863403836
H4-e003Coalescence-mBHI-p7_S135,0.933,0.9918462978625642
E3-e003Coalescence-mBHI-p5_S2,0.010016188701293935,0.006829543024866974
G111-e003Coalescence-mBHI-p7_S128,0.952,0.9947438944899174
H3-e003Coalescence-mBHI-p5_S38,0.9954460499731794,0.9960376323583479
G3-e003Coalescence-mGAM-p3_S82,0.0052662435439792855,0.004487815167606654
F111-e003Coalescence-mGAM-p3_S168,1.0,0.9936127622239362
F3-e003Coalescence-mGAM-p7_S158,0.006721389786394615,0.006981950671870663
F8-e003Coalescence-mBHI-p7_S113,0.921,0.9895739546439345
G2-e003Coalescence-mBHI-p7_S121,0.10181008131935056,0.058958694562463373
H4-e003Coalescence-mBHI-p3_S47,0.915,0.741
F3-e003Coalescence-mBHI-p7_S110,0.017614676681585888,0.01201057566442123
F100-e003Coalescence-mGAM-p5_S67,0.75,0.432
G8-e003Coalescence-mBHI-p7_S125,0.003295649185587037,0.0022471399630207465
F4-e003Coalescence-mBHI-p5_S15,0.005377111829115691,0.0036663862554549022
