,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B8-e003Coalescence-mBHI-p7,0.0005451297188131117,0.9946830338773831
B3-e004Assembly-mBHI-p3,0.2546485940655585,0.22233479632423533
D3-e003Coalescence-Inoculumn-mGAM,0.0004718813111697996,0.9946812508572211
B11-e003Coalescence-mBHI-p3,0.0005024856299518409,0.9957500342888491
C5-e003Coalescence-Inoculumn-mGAM,0.15785024079540155,0.6276273487861748
C4-e003Coalescence-mBHI-p5,0.331000233027808,0.24599060485530105
B2-e004Assembly-mBHI-p3,0.2852553984775517,0.23046111644493208
G3-e004Assembly-epsilon-p5,0.25520211278545907,0.22189288163489232
A11-e003Coalescence-mBHI-p3,0.0005502563305887837,0.999054862158826
B2-e004Assembly-mBHI-p5,0.2774202268137331,0.24063530379920448
B4-e004Assembly-mBHI-p7,0.2721326704986795,0.2321727472226032
B2-e003Coalescence-mBHI-p7,0.2677365232251048,0.15944904676999042
A4-e003Coalescence-Inoculumn-mGAM,0.5951940344881156,0.14478130571938005
B4-e003Coalescence-mBHI-p3,0.33092721764797267,0.2518232752708819
A5-e003Coalescence-Inoculumn-mBHI,0.22504901351561285,0.6587440680290769
A9-e003Coalescence-mGAM-p5,0.0005193413080627622,0.9954668083939103
C10-e003Coalescence-mGAM-p7,0.3324498213453472,0.2517387875462899
F3-e004Assembly-epsilon-p7,0.2531015224483455,0.21970463585242078
A11-e003Coalescence-mGAM-p3,0.02130977163274818,0.974669249759978
C10-e003Coalescence-mBHI-p3,0.33224794158769616,0.25120703607186945
D2-e003Coalescence-mBHI-p3,0.03295549168867484,0.9494203127143053
C5-e003GlycerolRevival-mBHI-p2,0.006978095386049402,0.7798190234535729
H5-e003Coalescence-mBHI-p5_S40,0.0005953083734659004,0.9938694966396927
E2-e003Coalescence-mGAM-p7_S145,0.9588311325151468,0.000938074338225209
G5-e003Coalescence-mBHI-p7_S124,0.00783159857076278,0.9755320943629131
H111-e003Coalescence-mGAM-p7_S188,0.0004311014447724096,0.9966746673981621
H4-e003Coalescence-mGAM-p7_S183,0.011121485163896227,0.9693675078864354
F5-e003Coalescence-mGAM-p5_S64,0.04298027031225726,0.8890015087093677
F5-e003Coalescence-mGAM-p7_S160,0.021145953083734653,0.9346728843780003
F8-e003Coalescence-mBHI-p3_S117,0.0018624359173528044,0.9897935811274173
H3-e003Coalescence-mBHI-p3_S46,0.0021758583190927454,0.9884698943903442
H2-e003Coalescence-mBHI-p7_S133,0.03430526642846046,0.8698486490193389
E5-e003Coalescence-mBHI-p3_S12,0.01647592045984154,0.942982855575367
