,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
E111-e003Coalescence-mBHI-p3_S108,12778,14163
G3-e003Coalescence-mBHI-p5_S26,12884,14658
G5-e003Coalescence-mBHI-p5_S28,13050,14590
H111-e003Coalescence-mGAM-p5_S92,13008,14516
G4-e003Coalescence-mBHI-p3_S35,12954,14669
H9-e003Coalescence-mGAM-p5_S90,12957,14379
H2-e003Coalescence-mBHI-p3_S45,12993,14484
E8-e003Coalescence-mBHI-p7_S101,12734,14386
E4-e003Coalescence-mBHI-p5_S3,12797,14619
H2-e003Coalescence-mGAM-p3_S93,12856,14238
E4-e003Coalescence-mGAM-p5_S51,12676,14557
G9-e003Coalescence-mGAM-p7_S174,12891,14634
F2-e003Coalescence-mBHI-p3_S21,12582,14292
E8-e003Coalescence-mGAM-p3_S153,12888,14659
G111-e003Coalescence-mGAM-p3_S180,12848,14503
G5-e003Coalescence-mGAM-p3_S84,13000,14580
H8-e003Coalescence-mBHI-p5_S41,13044,14584
E100-e003Coalescence-mBHI-p5_S7,12984,14649
G100-e003Coalescence-mGAM-p7_S175,12778,14639
F9-e003Coalescence-mGAM-p7_S162,12866,14243
E2-e003Coalescence-mBHI-p7_S97,10810,12368
F8-e003Coalescence-mGAM-p7_S161,12728,14022
F3-e003Coalescence-mBHI-p3_S22,12830,14644
G3-e003Coalescence-mBHI-p7_S122,12859,14646
G5-e003Coalescence-mGAM-p5_S76,13007,14569
G5-e003Coalescence-mGAM-p7_S172,13030,14598
G4-e003Coalescence-mGAM-p5_S75,12903,14627
G8-e003Coalescence-mBHI-p3_S129,13013,14668
E5-e003Coalescence-mGAM-p3_S60,12919,14360
G2-e003Coalescence-mGAM-p5_S73,12717,14597
E5-e003Coalescence-mGAM-p7_S148,13004,14505
H9-e003Coalescence-mGAM-p7_S186,12935,14399
E100-e003Coalescence-mGAM-p5_S55,12822,14568
E8-e003Coalescence-mGAM-p5_S53,12699,14361
H5-e003Coalescence-mGAM-p3_S96,12884,14229
G4-e003Coalescence-mGAM-p3_S83,12800,14621
F4-e003Coalescence-mBHI-p7_S111,12799,14635
H3-e003Coalescence-mGAM-p7_S182,13001,14591
H5-e003Coalescence-mGAM-p5_S88,12951,14407
F4-e003Coalescence-mGAM-p5_S63,12807,14593
G4-e003Coalescence-mGAM-p7_S171,12757,14584
H8-e003Coalescence-mGAM-p5_S89,13005,14488
F3-e003Coalescence-mBHI-p5_S14,12815,14638
F100-e003Coalescence-mBHI-p7_S115,13011,14506
E3-e003Coalescence-mGAM-p7_S146,12690,14572
F100-e003Coalescence-mGAM-p3_S167,12549,14282
G100-e003Coalescence-mBHI-p3_S131,12471,14082
G4-e003Coalescence-mBHI-p7_S123,12957,14659
E9-e003Coalescence-mGAM-p3_S154,12926,14410
F3-e003Coalescence-mGAM-p5_S62,12829,14620
H4-e003Coalescence-mBHI-p7_S135,13028,14539
E3-e003Coalescence-mBHI-p5_S2,12939,14616
G111-e003Coalescence-mBHI-p7_S128,13038,14570
H3-e003Coalescence-mBHI-p5_S38,13011,14535
G3-e003Coalescence-mGAM-p3_S82,12834,14629
F111-e003Coalescence-mGAM-p3_S168,12909,14339
F3-e003Coalescence-mGAM-p7_S158,12508,14361
F8-e003Coalescence-mBHI-p7_S113,12913,14390
G2-e003Coalescence-mBHI-p7_S121,10702,12523
H4-e003Coalescence-mBHI-p3_S47,13036,14629
F3-e003Coalescence-mBHI-p7_S110,12651,14504
F100-e003Coalescence-mGAM-p5_S67,11645,13252
G8-e003Coalescence-mBHI-p7_S125,12982,14661
F4-e003Coalescence-mBHI-p5_S15,12826,14639
H111-e003Coalescence-mBHI-p5_S44,13053,14587
E111-e003Coalescence-mBHI-p7_S104,12931,14414
E2-e003Coalescence-mGAM-p3_S57,12700,14346
F2-e003Coalescence-mBHI-p5_S13,12958,14669
F4-e003Coalescence-mBHI-p3_S23,12823,14641
F2-e003Coalescence-mGAM-p3_S69,12732,14567
E9-e003Coalescence-mGAM-p5_S54,12690,14039
G3-e003Coalescence-mGAM-p5_S74,12812,14635
E111-e003Coalescence-mGAM-p5_S56,12933,14440
G100-e003Coalescence-mGAM-p5_S79,12823,14635
H100-e003Coalescence-mGAM-p5_S91,12971,14525
G9-e003Coalescence-mBHI-p3_S130,12814,14225
E4-e003Coalescence-mGAM-p7_S147,12828,14632
E4-e003Coalescence-mGAM-p3_S59,12780,14596
H4-e003Coalescence-mBHI-p5_S39,13031,14569
F4-e003Coalescence-mGAM-p3_S71,12846,14638
H100-e003Coalescence-mBHI-p7_S139,13047,14585
G8-e003Coalescence-mBHI-p5_S29,13003,14670
G2-e003Coalescence-mBHI-p5_S25,12785,14625
G8-e003Coalescence-mGAM-p7_S173,12851,14622
E4-e003Coalescence-mBHI-p3_S11,12782,14614
E2-e003Coalescence-mGAM-p5_S49,12605,14258
H9-e003Coalescence-mBHI-p5_S42,13012,14535
H111-e003Coalescence-mGAM-p3_S192,13032,14543
F5-e003Coalescence-mBHI-p3_S24,12997,14477
E8-e003Coalescence-mBHI-p3_S105,12526,14098
E8-e003Coalescence-mGAM-p7_S149,12689,14338
H5-e003Coalescence-mBHI-p7_S136,12839,14234
G9-e003Coalescence-mBHI-p5_S30,13038,14582
F111-e003Coalescence-mBHI-p7_S116,12763,14159
F5-e003Coalescence-mBHI-p7_S112,12987,14460
F4-e003Coalescence-mGAM-p7_S159,12837,14627
F111-e003Coalescence-mBHI-p3_S120,12880,14253
H3-e003Coalescence-mGAM-p5_S86,12996,14582
E4-e003Coalescence-mBHI-p7_S99,12645,14513
H4-e003Coalescence-mGAM-p5_S87,12966,14438
E100-e003Coalescence-mGAM-p7_S151,12585,14461
G9-e003Coalescence-mGAM-p3_S178,12876,14628
H9-e003Coalescence-mBHI-p7_S138,12701,14142
H8-e003Coalescence-mGAM-p7_S185,13042,14644
G2-e003Coalescence-mGAM-p3_S81,12765,14606
F111-e003Coalescence-mBHI-p5_S20,12734,14060
F8-e003Coalescence-mBHI-p5_S17,13025,14529
G100-e003Coalescence-mBHI-p7_S127,12847,14636
E5-e003Coalescence-mGAM-p5_S52,12857,14282
