comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts,mesocosm-passage
B3,B3-mGAM,AC/PP-AC/PP-mBHI,B3-e003Coalescence-Inoculumn-mBHI,False,mGAM,B3-AC/PP-AC/PP-mBHI-mGAM,mBHI,AC/PP-AC/PP,4,A_F10_B3_ACPP_ACPP_mBHI_mGAM_4_S70,AC/PP-AC/PP-mBHI-mGAM,False,1,B3-AC/PP-AC/PP-mBHI-mGAM-4
B4,B4-mGAM,AC/PP-AE-mBHI,B4-e003Coalescence-Inoculumn-mBHI,False,mGAM,B4-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,4,A_F11_B4_AE_ACPP_mBHI_mGAM_4_S71,AC/PP-AE-mBHI-mGAM,False,1,B4-AC/PP-AE-mBHI-mGAM-4
B5,B5-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mGAM,B5-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,4,A_F12_B5_AF_ACPP_mBHI_mGAM_4_S72,AC/PP-AF-mBHI-mGAM,False,1,B5-AC/PP-AF-mBHI-mGAM-4
C2,C2-mGAM,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C2-AA-AE-mBHI-mGAM,mBHI,AA-AE,2,A_G1_C2_AA_AE_mBHI_mGAM_2_S73,AA-AE-mBHI-mGAM,False,1,C2-AA-AE-mBHI-mGAM-2
C3,C3-mGAM,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C3-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,2,A_G2_C3_ACPP_AE_mBHI_mGAM_2_S74,AC/PP-AE-mBHI-mGAM,False,1,C3-AC/PP-AE-mBHI-mGAM-2
C4,C4-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C4-AE-AE-mBHI-mGAM,mBHI,AE-AE,2,A_G3_C4_AE_AE_mBHI_mGAM_2_S75,AE-AE-mBHI-mGAM,False,1,C4-AE-AE-mBHI-mGAM-2
C5,C5-mGAM,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C5-AE-AF-mBHI-mGAM,mBHI,AE-AF,2,A_G4_C5_AF_AE_mBHI_mGAM_2_S76,AE-AF-mBHI-mGAM,False,1,C5-AE-AF-mBHI-mGAM-2
C8,C8-mGAM,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,False,mGAM,C8-AA-AE-mGAM-mGAM,mGAM,AA-AE,2,A_G5_C8_AA_AE_mGAM_mGAM_2_S77,AA-AE-mGAM-mGAM,False,1,C8-AA-AE-mGAM-mGAM-2
C11,C11-mGAM,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mGAM,C11-AE-AF-mGAM-mGAM,mGAM,AE-AF,2,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,AE-AF-mGAM-mGAM,False,1,C11-AE-AF-mGAM-mGAM-2
C2,C2-mGAM,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C2-AA-AE-mBHI-mGAM,mBHI,AA-AE,4,A_G9_C2_AA_AE_mBHI_mGAM_4_S81,AA-AE-mBHI-mGAM,False,1,C2-AA-AE-mBHI-mGAM-4
C3,C3-mGAM,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C3-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,4,A_G10_C3_ACPP_AE_mBHI_mGAM_4_S82,AC/PP-AE-mBHI-mGAM,False,1,C3-AC/PP-AE-mBHI-mGAM-4
C4,C4-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C4-AE-AE-mBHI-mGAM,mBHI,AE-AE,4,A_G11_C4_AE_AE_mBHI_mGAM_4_S83,AE-AE-mBHI-mGAM,False,1,C4-AE-AE-mBHI-mGAM-4
C5,C5-mGAM,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C5-AE-AF-mBHI-mGAM,mBHI,AE-AF,4,A_G12_C5_AF_AE_mBHI_mGAM_4_S84,AE-AF-mBHI-mGAM,False,1,C5-AE-AF-mBHI-mGAM-4
D2,D2-mGAM,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mGAM,D2-AA-AF-mBHI-mGAM,mBHI,AA-AF,2,A_H1_D2_AA_AF_mBHI_mGAM_2_S85,AA-AF-mBHI-mGAM,False,1,D2-AA-AF-mBHI-mGAM-2
D3,D3-mGAM,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mGAM,D3-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,2,A_H2_D3_ACPP_AF_mBHI_mGAM_2_S86,AC/PP-AF-mBHI-mGAM,False,1,D3-AC/PP-AF-mBHI-mGAM-2
D4,D4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,D4-AE-AF-mBHI-mGAM,mBHI,AE-AF,2,A_H3_D4_AE_AF_mBHI_mGAM_2_S87,AE-AF-mBHI-mGAM,False,1,D4-AE-AF-mBHI-mGAM-2
D5,D5-mGAM,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mGAM,D5-AF-AF-mBHI-mGAM,mBHI,AF-AF,2,A_H4_D5_AF_AF_mBHI_mGAM_2_S88,AF-AF-mBHI-mGAM,False,1,D5-AF-AF-mBHI-mGAM-2
D8,D8-mGAM,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,False,mGAM,D8-AA-AF-mGAM-mGAM,mGAM,AA-AF,2,A_H5_D8_AA_AF_mGAM_mGAM_2_S89,AA-AF-mGAM-mGAM,False,1,D8-AA-AF-mGAM-mGAM-2
D11,D11-mGAM,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mGAM,D11-AF-AF-mGAM-mGAM,mGAM,AF-AF,2,A_H8_D11_AF_AF_mGAM_mGAM_2_S92,AF-AF-mGAM-mGAM,False,1,D11-AF-AF-mGAM-mGAM-2
D2,D2-mGAM,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mGAM,D2-AA-AF-mBHI-mGAM,mBHI,AA-AF,4,A_H9_D2_AA_AF_mBHI_mGAM_4_S93,AA-AF-mBHI-mGAM,False,1,D2-AA-AF-mBHI-mGAM-4
D3,D3-mGAM,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mGAM,D3-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,4,A_H10_D3_ACPP_AF_mBHI_mGAM_4_S94,AC/PP-AF-mBHI-mGAM,False,1,D3-AC/PP-AF-mBHI-mGAM-4
D4,D4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,D4-AE-AF-mBHI-mGAM,mBHI,AE-AF,4,A_H11_D4_AE_AF_mBHI_mGAM_4_S95,AE-AF-mBHI-mGAM,False,1,D4-AE-AF-mBHI-mGAM-4
D5,D5-mGAM,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mGAM,D5-AF-AF-mBHI-mGAM,mBHI,AF-AF,4,A_H12_D5_AF_AF_mBHI_mGAM_4_S96,AF-AF-mBHI-mGAM,False,1,D5-AF-AF-mBHI-mGAM-4
E2,E2-mBHI,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,E2-AA-AA-mBHI-mBHI,mBHI,AA-AA,2,B_A1_E2_AA_AA_mBHI_mBHI_2_S97,AA-AA-mBHI-mBHI,False,1,E2-AA-AA-mBHI-mBHI-2
E3,E3-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,E3-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,2,B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,AA-AC/PP-mBHI-mBHI,False,1,E3-AA-AC/PP-mBHI-mBHI-2
E4,E4-mBHI,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,E4-AA-AE-mBHI-mBHI,mBHI,AA-AE,2,B_A3_E4_AE_AA_mBHI_mBHI_2_S99,AA-AE-mBHI-mBHI,False,1,E4-AA-AE-mBHI-mBHI-2
