,sample 2,fixed diffs,sample 1
51,C4-e003Coalescence-mGAM-p7,4834,A2-e003Coalescence-mBHI-inoculumn-redo
52,C5-e003Coalescence-Inoculumn-mGAM,47834,A2-e003Coalescence-mBHI-inoculumn-redo
53,C5-e003Coalescence-mBHI-inoculumn-redo,16688,A2-e003Coalescence-mBHI-inoculumn-redo
54,C5-e003Coalescence-mGAM-p7,3752,A2-e003Coalescence-mBHI-inoculumn-redo
55,C8-e003Coalescence-mBHI-p5,26,A2-e003Coalescence-mBHI-inoculumn-redo
56,C8-e003Coalescence-mBHI-p7,17,A2-e003Coalescence-mBHI-inoculumn-redo
57,C8-e003Coalescence-mGAM-p7,227,A2-e003Coalescence-mBHI-inoculumn-redo
58,C9-e003Coalescence-mGAM-p5,8243,A2-e003Coalescence-mBHI-inoculumn-redo
59,D10-e003Coalescence-mBHI-p7,8048,A2-e003Coalescence-mBHI-inoculumn-redo
60,D11-e003Coalescence-mBHI-p5,35000,A2-e003Coalescence-mBHI-inoculumn-redo
61,D11-e003Coalescence-mGAM-p5,28653,A2-e003Coalescence-mBHI-inoculumn-redo
62,D11-e003Coalescence-mGAM-p7,27130,A2-e003Coalescence-mBHI-inoculumn-redo
63,D2-e003Coalescence-Inoculumn-mBHI,737,A2-e003Coalescence-mBHI-inoculumn-redo
64,D2-e003Coalescence-Inoculumn-mGAM,7091,A2-e003Coalescence-mBHI-inoculumn-redo
65,D2-e003Coalescence-mGAM-p5,52,A2-e003Coalescence-mBHI-inoculumn-redo
66,D3-e003Coalescence-Inoculumn-mBHI,5837,A2-e003Coalescence-mBHI-inoculumn-redo
67,D3-e003Coalescence-Inoculumn-mGAM,54560,A2-e003Coalescence-mBHI-inoculumn-redo
68,D3-e003Coalescence-mGAM-p5,4011,A2-e003Coalescence-mBHI-inoculumn-redo
69,D4-e003Coalescence-Inoculumn-mBHI,22702,A2-e003Coalescence-mBHI-inoculumn-redo
70,D4-e003Coalescence-Inoculumn-mGAM,4161,A2-e003Coalescence-mBHI-inoculumn-redo
71,D4-e003Coalescence-mGAM-p5,2074,A2-e003Coalescence-mBHI-inoculumn-redo
72,D4-e003Coalescence-mGAM-p7,3918,A2-e003Coalescence-mBHI-inoculumn-redo
73,D5-e003Coalescence-Inoculumn-mBHI,11471,A2-e003Coalescence-mBHI-inoculumn-redo
74,D5-e003Coalescence-Inoculumn-mGAM,56052,A2-e003Coalescence-mBHI-inoculumn-redo
75,D5-e003Coalescence-mBHI-p5,13,A2-e003Coalescence-mBHI-inoculumn-redo
76,D5-e003Coalescence-mGAM-p5,2078,A2-e003Coalescence-mBHI-inoculumn-redo
77,D8-e003Coalescence-mBHI-p5,2701,A2-e003Coalescence-mBHI-inoculumn-redo
78,D8-e003Coalescence-mGAM-p5,68,A2-e003Coalescence-mBHI-inoculumn-redo
79,D9-e003Coalescence-mGAM-p5,8857,A2-e003Coalescence-mBHI-inoculumn-redo
80,D9-e003Coalescence-mGAM-p7,6424,A2-e003Coalescence-mBHI-inoculumn-redo
0,A10-e003Coalescence-mBHI-p7,680,A3-e003Coalescence-Inoculumn-mGAM
1,A11-e003Coalescence-mBHI-p5,1828,A3-e003Coalescence-Inoculumn-mGAM
2,A11-e003Coalescence-mBHI-p7,440,A3-e003Coalescence-Inoculumn-mGAM
3,A11-e003Coalescence-mGAM-p7,189,A3-e003Coalescence-Inoculumn-mGAM
4,A2-e003Coalescence-Inoculumn-mBHI,2241,A3-e003Coalescence-Inoculumn-mGAM
5,A2-e003Coalescence-Inoculumn-mGAM,255,A3-e003Coalescence-Inoculumn-mGAM
6,A2-e003Coalescence-mBHI-inoculumn-redo,3007,A3-e003Coalescence-Inoculumn-mGAM
7,A2-e003Coalescence-mBHI-p5,2074,A3-e003Coalescence-Inoculumn-mGAM
8,A2-e003Coalescence-mGAM-p5,1259,A3-e003Coalescence-Inoculumn-mGAM
9,A2-e003Coalescence-mGAM-p7,3186,A3-e003Coalescence-Inoculumn-mGAM
10,A3-e003Coalescence-Inoculumn-mGAM,0,A3-e003Coalescence-Inoculumn-mGAM
11,A3-e003Coalescence-mBHI-inoculumn-redo,387,A3-e003Coalescence-Inoculumn-mGAM
12,A4-e003Coalescence-Inoculumn-mGAM,273,A3-e003Coalescence-Inoculumn-mGAM
13,A4-e003Coalescence-mBHI-inoculumn-redo,1567,A3-e003Coalescence-Inoculumn-mGAM
14,A4-e003Coalescence-mBHI-p7,1034,A3-e003Coalescence-Inoculumn-mGAM
15,A5-e003Coalescence-Inoculumn-mBHI,514,A3-e003Coalescence-Inoculumn-mGAM
16,A5-e003Coalescence-Inoculumn-mGAM,791,A3-e003Coalescence-Inoculumn-mGAM
17,A5-e003Coalescence-mBHI-inoculumn-redo,1572,A3-e003Coalescence-Inoculumn-mGAM
18,A5-e003Coalescence-mBHI-p7,2344,A3-e003Coalescence-Inoculumn-mGAM
19,A8-e003Coalescence-mBHI-p7,154,A3-e003Coalescence-Inoculumn-mGAM
20,A9-e003Coalescence-mBHI-p7,1272,A3-e003Coalescence-Inoculumn-mGAM
21,A9-e003Coalescence-mGAM-p5,1587,A3-e003Coalescence-Inoculumn-mGAM
22,A9-e003Coalescence-mGAM-p7,1614,A3-e003Coalescence-Inoculumn-mGAM
23,B10-e003Coalescence-mGAM-p7,2058,A3-e003Coalescence-Inoculumn-mGAM
24,B11-e003Coalescence-mGAM-p7,4037,A3-e003Coalescence-Inoculumn-mGAM
25,B2-e003Coalescence-Inoculumn-mBHI,1607,A3-e003Coalescence-Inoculumn-mGAM
26,B2-e003Coalescence-Inoculumn-mGAM,233,A3-e003Coalescence-Inoculumn-mGAM
27,B2-e003Coalescence-mBHI-p5,969,A3-e003Coalescence-Inoculumn-mGAM
28,B2-e003Coalescence-mGAM-p7,3980,A3-e003Coalescence-Inoculumn-mGAM
29,B3-e003Coalescence-Inoculumn-mBHI,3730,A3-e003Coalescence-Inoculumn-mGAM
30,B3-e003Coalescence-Inoculumn-mGAM,10138,A3-e003Coalescence-Inoculumn-mGAM
31,B3-e003Coalescence-mBHI-p7,2602,A3-e003Coalescence-Inoculumn-mGAM
32,B3-e003Coalescence-mGAM-p5,4087,A3-e003Coalescence-Inoculumn-mGAM
33,B4-e003Coalescence-Inoculumn-mBHI,4083,A3-e003Coalescence-Inoculumn-mGAM
34,B4-e003Coalescence-Inoculumn-mGAM,7438,A3-e003Coalescence-Inoculumn-mGAM
35,B4-e003Coalescence-mGAM-p5,5102,A3-e003Coalescence-Inoculumn-mGAM
36,B5-e003Coalescence-Inoculumn-mBHI,2751,A3-e003Coalescence-Inoculumn-mGAM
37,B5-e003Coalescence-Inoculumn-mGAM,19213,A3-e003Coalescence-Inoculumn-mGAM
38,B5-e003Coalescence-mGAM-p5,650,A3-e003Coalescence-Inoculumn-mGAM
39,B5-e003Coalescence-mGAM-p7,1311,A3-e003Coalescence-Inoculumn-mGAM
