,sample,experiment,sub_experiment,comm,parent_subjects,is_inoculumn,parent_media,media,passage,mesocosm,single-subject,inoculumn,type_meso
97,C2-e003Coalescence-mBHI-inoculumn-redo,e003,e003Coalescence,C2,AE-AA,True,mBHI,mBHI,0,C2-AE-AA-mBHI-mBHI,False,AA-AE-mBHI,AA-AE-mBHI-mBHI
98,C2-e003Coalescence-mBHI-p3,e003,e003Coalescence,C2,AE-AA,False,mBHI,mBHI,3,C2-AE-AA-mBHI-mBHI,False,AA-AE-mBHI,AA-AE-mBHI-mBHI
99,C2-e003Coalescence-mBHI-p5,e003,e003Coalescence,C2,AE-AA,False,mBHI,mBHI,5,C2-AE-AA-mBHI-mBHI,False,AA-AE-mBHI,AA-AE-mBHI-mBHI
100,C2-e003Coalescence-mBHI-p7,e003,e003Coalescence,C2,AE-AA,False,mBHI,mBHI,7,C2-AE-AA-mBHI-mBHI,False,AA-AE-mBHI,AA-AE-mBHI-mBHI
101,C2-e003Coalescence-mGAM-p3,e003,e003Coalescence,C2,AE-AA,False,mBHI,mGAM,3,C2-AE-AA-mBHI-mGAM,False,AA-AE-mBHI,AA-AE-mBHI-mGAM
102,C2-e003Coalescence-mGAM-p5,e003,e003Coalescence,C2,AE-AA,False,mBHI,mGAM,5,C2-AE-AA-mBHI-mGAM,False,AA-AE-mBHI,AA-AE-mBHI-mGAM
103,C2-e003Coalescence-mGAM-p7,e003,e003Coalescence,C2,AE-AA,False,mBHI,mGAM,7,C2-AE-AA-mBHI-mGAM,False,AA-AE-mBHI,AA-AE-mBHI-mGAM
104,C3-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,C3,AE-AC/PP,True,mGAM,mGAM,0,C3-AE-AC/PP-mGAM-mGAM,False,AC/PP-AE-mGAM,AC/PP-AE-mGAM-mGAM
105,C3-e003Coalescence-mBHI-inoculumn-redo,e003,e003Coalescence,C3,AE-AC/PP,True,mBHI,mBHI,0,C3-AE-AC/PP-mBHI-mBHI,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mBHI
106,C3-e003Coalescence-mBHI-p3,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mBHI,3,C3-AE-AC/PP-mBHI-mBHI,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mBHI
107,C3-e003Coalescence-mBHI-p5,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mBHI,5,C3-AE-AC/PP-mBHI-mBHI,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mBHI
108,C3-e003Coalescence-mBHI-p7,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mBHI,7,C3-AE-AC/PP-mBHI-mBHI,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mBHI
109,C3-e003Coalescence-mGAM-p3,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mGAM,3,C3-AE-AC/PP-mBHI-mGAM,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mGAM
110,C3-e003Coalescence-mGAM-p5,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mGAM,5,C3-AE-AC/PP-mBHI-mGAM,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mGAM
111,C3-e003Coalescence-mGAM-p7,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mGAM,7,C3-AE-AC/PP-mBHI-mGAM,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mGAM
112,C4-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,C4,AE-AE,True,mGAM,mGAM,0,C4-AE-AE-mGAM-mGAM,True,AE-AE-mGAM,AE-AE-mGAM-mGAM
113,C4-e003Coalescence-mBHI-inoculumn-redo,e003,e003Coalescence,C4,AE-AE,True,mBHI,mBHI,0,C4-AE-AE-mBHI-mBHI,True,AE-AE-mBHI,AE-AE-mBHI-mBHI
114,C4-e003Coalescence-mBHI-p3,e003,e003Coalescence,C4,AE-AE,False,mBHI,mBHI,3,C4-AE-AE-mBHI-mBHI,True,AE-AE-mBHI,AE-AE-mBHI-mBHI
115,C4-e003Coalescence-mBHI-p5,e003,e003Coalescence,C4,AE-AE,False,mBHI,mBHI,5,C4-AE-AE-mBHI-mBHI,True,AE-AE-mBHI,AE-AE-mBHI-mBHI
116,C4-e003Coalescence-mBHI-p7,e003,e003Coalescence,C4,AE-AE,False,mBHI,mBHI,7,C4-AE-AE-mBHI-mBHI,True,AE-AE-mBHI,AE-AE-mBHI-mBHI
117,C4-e003Coalescence-mGAM-p3,e003,e003Coalescence,C4,AE-AE,False,mBHI,mGAM,3,C4-AE-AE-mBHI-mGAM,True,AE-AE-mBHI,AE-AE-mBHI-mGAM
118,C4-e003Coalescence-mGAM-p5,e003,e003Coalescence,C4,AE-AE,False,mBHI,mGAM,5,C4-AE-AE-mBHI-mGAM,True,AE-AE-mBHI,AE-AE-mBHI-mGAM
