,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn,sample2,sample_name2
59,C4-e003Coalescence-mBHI-p7,False,C4-e003Coalescence-mBHI-p7,True,C4,False,7,mBHI,mBHI,AE-AE,C4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-p7,C4-e003Coalescence-mBHI-p7
60,B10-e003Coalescence-mBHI-p5,False,B10-e003Coalescence-mBHI-p5,True,B10,False,5,mBHI,mGAM,AC/PP-AE,B10-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM,B10-e003Coalescence-mBHI-p5,B10-e003Coalescence-mBHI-p5
61,D11-e003Coalescence-mBHI-p3,False,D11-e003Coalescence-mBHI-p3,True,D11,False,3,mBHI,mGAM,AF-AF,D11-AF-AF-mGAM-mBHI,AF-AF-mGAM-mBHI,AF-AF-mGAM,D11-e003Coalescence-mBHI-p3,D11-e003Coalescence-mBHI-p3
62,B5-e003Coalescence-mBHI-p3,False,B5-e003Coalescence-mBHI-p3,True,B5,False,3,mBHI,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-mBHI-p3,B5-e003Coalescence-mBHI-p3
63,C4-e003Coalescence-mGAM-p5,False,C4-e003Coalescence-mGAM-p5,True,C4,False,5,mGAM,mBHI,AE-AE,C4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI,C4-e003Coalescence-mGAM-p5,C4-e003Coalescence-mGAM-p5
64,C5-e003Coalescence-mGAM-p7,False,C5-e003Coalescence-mGAM-p7,True,C5,False,7,mGAM,mBHI,AE-AF,C5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI,C5-e003Coalescence-mGAM-p7,C5-e003Coalescence-mGAM-p7
65,A2-e003Coalescence-mBHI-p7,False,A2-e003Coalescence-mBHI-p7,True,A2,False,7,mBHI,mBHI,AA-AA,A2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI,A2-e003Coalescence-mBHI-p7,A2-e003Coalescence-mBHI-p7
66,A10-e003Coalescence-mBHI-p5,False,A10-e003Coalescence-mBHI-p5,True,A10,False,5,mBHI,mGAM,AA-AE,A10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM,A10-e003Coalescence-mBHI-p5,A10-e003Coalescence-mBHI-p5
67,D2-e003Coalescence-mBHI-p7,False,D2-e003Coalescence-mBHI-p7,True,D2,False,7,mBHI,mBHI,AA-AF,D2-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AF-AA-mBHI,D2-e003Coalescence-mBHI-p7,D2-e003Coalescence-mBHI-p7
68,A4-e003Coalescence-mGAM-p5,False,A4-e003Coalescence-mGAM-p5,True,A4,False,5,mGAM,mBHI,AA-AE,A4-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI,A4-e003Coalescence-mGAM-p5,A4-e003Coalescence-mGAM-p5
69,D5-e003Coalescence-mBHI-p5,False,D5-e003Coalescence-mBHI-p5,True,D5,False,5,mBHI,mBHI,AF-AF,D5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI,D5-e003Coalescence-mBHI-p5,D5-e003Coalescence-mBHI-p5
70,D4-e003Coalescence-mGAM-p7,False,D4-e003Coalescence-mGAM-p7,True,D4,False,7,mGAM,mBHI,AE-AF,D4-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AF-AE-mBHI,D4-e003Coalescence-mGAM-p7,D4-e003Coalescence-mGAM-p7
71,A8-e003Coalescence-mBHI-p7,False,A8-e003Coalescence-mBHI-p7,True,A8,False,7,mBHI,mGAM,AA-AA,A8-AA-AA-mGAM-mBHI,AA-AA-mGAM-mBHI,AA-AA-mGAM,A8-e003Coalescence-mBHI-p7,A8-e003Coalescence-mBHI-p7
72,C4-e003Coalescence-mGAM-p3,False,C4-e003Coalescence-mGAM-p3,True,C4,False,3,mGAM,mBHI,AE-AE,C4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI,C4-e003Coalescence-mGAM-p3,C4-e003Coalescence-mGAM-p3
73,D5-e003Coalescence-mGAM-p7,False,D5-e003Coalescence-mGAM-p7,True,D5,False,7,mGAM,mBHI,AF-AF,D5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI,D5-e003Coalescence-mGAM-p7,D5-e003Coalescence-mGAM-p7
74,C5-e003Coalescence-mBHI-p5,False,C5-e003Coalescence-mBHI-p5,True,C5,False,5,mBHI,mBHI,AE-AF,C5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-p5,C5-e003Coalescence-mBHI-p5
75,C5-e003Coalescence-mGAM-p3,False,C5-e003Coalescence-mGAM-p3,True,C5,False,3,mGAM,mBHI,AE-AF,C5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI,C5-e003Coalescence-mGAM-p3,C5-e003Coalescence-mGAM-p3
76,A11-e003Coalescence-mBHI-p7,False,A11-e003Coalescence-mBHI-p7,True,A11,False,7,mBHI,mGAM,AA-AF,A11-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM,A11-e003Coalescence-mBHI-p7,A11-e003Coalescence-mBHI-p7
77,A4-e003Coalescence-mGAM-p3,False,A4-e003Coalescence-mGAM-p3,True,A4,False,3,mGAM,mBHI,AA-AE,A4-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI,A4-e003Coalescence-mGAM-p3,A4-e003Coalescence-mGAM-p3
78,C3-e003Coalescence-mGAM-p5,False,C3-e003Coalescence-mGAM-p5,True,C3,False,5,mGAM,mBHI,AC/PP-AE,C3-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AE-AC/PP-mBHI,C3-e003Coalescence-mGAM-p5,C3-e003Coalescence-mGAM-p5
79,A10-e003Coalescence-mGAM-p3,False,A10-e003Coalescence-mGAM-p3,True,A10,False,3,mGAM,mGAM,AA-AE,A10-AA-AE-mGAM-mGAM,AA-AE-mGAM-mGAM,AA-AE-mGAM,A10-e003Coalescence-mGAM-p3,A10-e003Coalescence-mGAM-p3
80,A9-e003Coalescence-mBHI-p3,False,A9-e003Coalescence-mBHI-p3,True,A9,False,3,mBHI,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM,A9-e003Coalescence-mBHI-p3,A9-e003Coalescence-mBHI-p3
81,D3-e003Coalescence-mBHI-p7,False,D3-e003Coalescence-mBHI-p7,True,D3,False,7,mBHI,mBHI,AC/PP-AF,D3-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AF-AC/PP-mBHI,D3-e003Coalescence-mBHI-p7,D3-e003Coalescence-mBHI-p7
82,D11-e003Coalescence-mGAM-p3,False,D11-e003Coalescence-mGAM-p3,True,D11,False,3,mGAM,mGAM,AF-AF,D11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM,D11-e003Coalescence-mGAM-p3,D11-e003Coalescence-mGAM-p3
83,C3-e003Coalescence-mBHI-p5,False,C3-e003Coalescence-mBHI-p5,True,C3,False,5,mBHI,mBHI,AC/PP-AE,C3-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AE-AC/PP-mBHI,C3-e003Coalescence-mBHI-p5,C3-e003Coalescence-mBHI-p5
84,A9-e003Coalescence-mBHI-p5,False,A9-e003Coalescence-mBHI-p5,True,A9,False,5,mBHI,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM,A9-e003Coalescence-mBHI-p5,A9-e003Coalescence-mBHI-p5
85,B2-e003Coalescence-mGAM-p3,False,B2-e003Coalescence-mGAM-p3,True,B2,False,3,mGAM,mBHI,AA-AC/PP,B2-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AC/PP-AA-mBHI,B2-e003Coalescence-mGAM-p3,B2-e003Coalescence-mGAM-p3
86,C11-e003Coalescence-mGAM-p5,False,C11-e003Coalescence-mGAM-p5,True,C11,False,5,mGAM,mGAM,AE-AF,C11-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AE-AF-mGAM,C11-e003Coalescence-mGAM-p5,C11-e003Coalescence-mGAM-p5
