,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts
82,D11,D11-mGAM,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mGAM,D11-AF-AF-mGAM-mGAM,mGAM,AF-AF,3,D11-e003Coalescence-mGAM-p3,AF-AF-mGAM-mGAM,False,1
83,C3,C3-mBHI,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C3-AC/PP-AE-mBHI-mBHI,mBHI,AC/PP-AE,5,C3-e003Coalescence-mBHI-p5,AC/PP-AE-mBHI-mBHI,False,1
84,A9,A9-mBHI,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,False,mBHI,A9-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,5,A9-e003Coalescence-mBHI-p5,AA-AC/PP-mGAM-mBHI,False,1
85,B2,B2-mGAM,AA-AC/PP-mBHI,B2-e003Coalescence-Inoculumn-mBHI,False,mGAM,B2-AA-AC/PP-mBHI-mGAM,mBHI,AA-AC/PP,3,B2-e003Coalescence-mGAM-p3,AA-AC/PP-mBHI-mGAM,False,1
86,C11,C11-mGAM,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mGAM,C11-AE-AF-mGAM-mGAM,mGAM,AE-AF,5,C11-e003Coalescence-mGAM-p5,AE-AF-mGAM-mGAM,False,1
87,A8,A8-mBHI,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mBHI,A8-AA-AA-mGAM-mBHI,mGAM,AA-AA,5,A8-e003Coalescence-mBHI-p5,AA-AA-mGAM-mBHI,False,1
88,D9,D9-mBHI,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,False,mBHI,D9-AC/PP-AF-mGAM-mBHI,mGAM,AC/PP-AF,3,D9-e003Coalescence-mBHI-p3,AC/PP-AF-mGAM-mBHI,False,1
89,C5,C5-mGAM,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C5-AE-AF-mBHI-mGAM,mBHI,AE-AF,5,C5-e003Coalescence-mGAM-p5,AE-AF-mBHI-mGAM,False,1
90,A5,A5-mBHI,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mBHI,A5-AA-AF-mBHI-mBHI,mBHI,AA-AF,7,A5-e003Coalescence-mBHI-p7,AA-AF-mBHI-mBHI,False,1
91,D2,D2-mGAM,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mGAM,D2-AA-AF-mBHI-mGAM,mBHI,AA-AF,5,D2-e003Coalescence-mGAM-p5,AA-AF-mBHI-mGAM,False,1
92,D3,D3-mGAM,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mGAM,D3-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,3,D3-e003Coalescence-mGAM-p3,AC/PP-AF-mBHI-mGAM,False,1
