,species_id,sample,relative_abundance,experiment,sub_experiment,comm,subject,passage,media
175023,100159,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175024,100164,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175025,102826,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175026,101356,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175027,101382,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175028,100199,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175029,102594,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175030,100109,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175031,101697,e003-inoculumn-fecal-AC,0.001,e003,inoculumn,AC,AC/PP,0,inoculumn
175032,102205,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175033,100087,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175034,101057,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175035,102682,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175036,100130,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175037,101414,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175038,100439,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175039,100238,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175040,100185,e003-inoculumn-fecal-AC,0.002,e003,inoculumn,AC,AC/PP,0,inoculumn
175041,102549,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175042,102040,e003-inoculumn-fecal-AC,0.004,e003,inoculumn,AC,AC/PP,0,inoculumn
175043,101304,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175044,101579,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175045,103181,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175046,103784,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175047,103011,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175048,104003,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175049,100323,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175050,104121,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175051,101178,e003-inoculumn-fecal-AC,0.001,e003,inoculumn,AC,AC/PP,0,inoculumn
175052,102312,e003-inoculumn-fecal-AC,0.001,e003,inoculumn,AC,AC/PP,0,inoculumn
175053,103185,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175054,102143,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175055,100309,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175056,101532,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175057,100035,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175058,102393,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175059,100211,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175060,102899,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175061,100038,e003-inoculumn-fecal-AC,0.015,e003,inoculumn,AC,AC/PP,0,inoculumn
175062,102316,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175063,102897,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175064,101687,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175065,102896,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175066,102763,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175067,104234,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175068,101528,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175069,100271,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175070,102538,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175071,100002,e003-inoculumn-fecal-AC,0.022,e003,inoculumn,AC,AC/PP,0,inoculumn
175072,101289,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175073,101313,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175074,100034,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175075,100121,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175076,100251,e003-inoculumn-fecal-AC,0.021,e003,inoculumn,AC,AC/PP,0,inoculumn
175077,102865,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175078,104618,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175079,103851,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175080,102206,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175081,100946,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175082,103093,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175083,102849,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175084,101583,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175085,104378,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175086,100571,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175087,103695,e003-inoculumn-fecal-AC,0.007,e003,inoculumn,AC,AC/PP,0,inoculumn
175088,103686,e003-inoculumn-fecal-AC,0.002,e003,inoculumn,AC,AC/PP,0,inoculumn
175089,100229,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175090,100154,e003-inoculumn-fecal-AC,0.008,e003,inoculumn,AC,AC/PP,0,inoculumn
175091,103702,e003-inoculumn-fecal-AC,0.002,e003,inoculumn,AC,AC/PP,0,inoculumn
175092,100268,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175093,102926,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175094,101338,e003-inoculumn-fecal-AC,0.061,e003,inoculumn,AC,AC/PP,0,inoculumn
175095,100205,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
175096,102903,e003-inoculumn-fecal-AC,0.0,e003,inoculumn,AC,AC/PP,0,inoculumn
