sample_name	midas_outdir
F5-e003Coalescence-mBHI-p5_S16	workflow/out/midas2_output/
F8-e003Coalescence-mGAM-p5_S65	workflow/out/midas2_output/
H8-e003Coalescence-mBHI-p7_S137	workflow/out/midas2_output/
E111-e003Coalescence-mGAM-p3_S156	workflow/out/midas2_output/
H5-e003Coalescence-mBHI-p3_S48	workflow/out/midas2_output/
G9-e003Coalescence-mGAM-p5_S78	workflow/out/midas2_output/
E2-e003Coalescence-mBHI-p5_S1	workflow/out/midas2_output/
E2-e003Coalescence-mBHI-p3_S9	workflow/out/midas2_output/
G8-e003Coalescence-mGAM-p5_S77	workflow/out/midas2_output/
G3-e003Coalescence-mBHI-p3_S34	workflow/out/midas2_output/
G100-e003Coalescence-mBHI-p5_S31	workflow/out/midas2_output/
F9-e003Coalescence-mBHI-p3_S118	workflow/out/midas2_output/
E111-e003Coalescence-mBHI-p3_S108	workflow/out/midas2_output/
F8-e003Coalescence-mGAM-p3_S165	workflow/out/midas2_output/
G3-e003Coalescence-mBHI-p5_S26	workflow/out/midas2_output/
G5-e003Coalescence-mBHI-p5_S28	workflow/out/midas2_output/
H111-e003Coalescence-mGAM-p5_S92	workflow/out/midas2_output/
G4-e003Coalescence-mBHI-p3_S35	workflow/out/midas2_output/
H9-e003Coalescence-mGAM-p5_S90	workflow/out/midas2_output/
H2-e003Coalescence-mBHI-p3_S45	workflow/out/midas2_output/
E8-e003Coalescence-mBHI-p7_S101	workflow/out/midas2_output/
E4-e003Coalescence-mBHI-p5_S3	workflow/out/midas2_output/
H2-e003Coalescence-mGAM-p3_S93	workflow/out/midas2_output/
E4-e003Coalescence-mGAM-p5_S51	workflow/out/midas2_output/
G9-e003Coalescence-mGAM-p7_S174	workflow/out/midas2_output/
F9-e003Coalescence-mBHI-p7_S114	workflow/out/midas2_output/
F2-e003Coalescence-mBHI-p3_S21	workflow/out/midas2_output/
E8-e003Coalescence-mGAM-p3_S153	workflow/out/midas2_output/
