,Unnamed: 0,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts,mesocosm-passage,replicate
63,63,A8,A8-mBHI,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mBHI,A8-AA-AA-mGAM-mBHI,mGAM,AA-AA,4,B_A9_A8_AA_AA_mGAM_mBHI_4_S105,AA-AA-mGAM-mBHI,False,1,A8-AA-AA-mGAM-mBHI4,0.0
64,64,A9,A9-mBHI,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,False,mBHI,A9-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,4,B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,AA-AC/PP-mGAM-mBHI,False,1,A9-AA-AC/PP-mGAM-mBHI4,1.0
65,65,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,4,B_A11_A10_AE_AA_mGAM_mBHI_4_S107,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI4,2.0
66,66,A11,A11-mBHI,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mBHI,A11-AA-AF-mGAM-mBHI,mGAM,AA-AF,4,B_A12_A11_AF_AA_mGAM_mBHI_4_S108,AA-AF-mGAM-mBHI,False,1,A11-AA-AF-mGAM-mBHI4,0.0
67,67,G2,G2-mBHI,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,G2-AA-AE-mBHI-mBHI,mBHI,AA-AE,2,B_C1_G2_AA_AE_mBHI_mBHI_2_S121,AA-AE-mBHI-mBHI,False,1,G2-AA-AE-mBHI-mBHI2,2.0
68,68,G4,G4-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,G4-AE-AE-mBHI-mBHI,mBHI,AE-AE,2,B_C3_G4_AE_AE_mBHI_mBHI_2_S123,AE-AE-mBHI-mBHI,False,1,G4-AE-AE-mBHI-mBHI2,1.0
69,69,G5,G5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,G5-AE-AF-mBHI-mBHI,mBHI,AE-AF,2,B_C4_G5_AF_AE_mBHI_mBHI_2_S124,AE-AF-mBHI-mBHI,False,1,G5-AE-AF-mBHI-mBHI2,2.0
70,70,G8,G8-mBHI,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,False,mBHI,G8-AA-AE-mGAM-mBHI,mGAM,AA-AE,2,B_C5_G8_AA_AE_mGAM_mBHI_2_S125,AA-AE-mGAM-mBHI,False,1,G8-AA-AE-mGAM-mBHI2,3.0
71,71,G9,G9-mBHI,AC/PP-AE-mGAM,C3-e003Coalescence-Inoculumn-mGAM,False,mBHI,G9-AC/PP-AE-mGAM-mBHI,mGAM,AC/PP-AE,2,B_C6_G9_ACPP_AE_mGAM_mBHI_2_S126,AC/PP-AE-mGAM-mBHI,False,1,G9-AC/PP-AE-mGAM-mBHI2,0.0
72,72,G10,G10-mBHI,AE-AE-mGAM,C4-e003Coalescence-Inoculumn-mGAM,False,mBHI,G10-AE-AE-mGAM-mBHI,mGAM,AE-AE,2,B_C7_G10_AE_AE_mGAM_mBHI_2_S127,AE-AE-mGAM-mBHI,False,1,G10-AE-AE-mGAM-mBHI2,0.0
73,73,G11,G11-mBHI,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mBHI,G11-AE-AF-mGAM-mBHI,mGAM,AE-AF,2,B_C8_G11_AF_AE_mGAM_mBHI_2_S128,AE-AF-mGAM-mBHI,False,1,G11-AE-AF-mGAM-mBHI2,1.0
