,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
H100-e003Coalescence-mGAM-p5_S91,1917,2242
G9-e003Coalescence-mBHI-p3_S130,1878,2232
E4-e003Coalescence-mGAM-p7_S147,1971,2332
E4-e003Coalescence-mGAM-p3_S59,1974,2328
H4-e003Coalescence-mBHI-p5_S39,1897,2266
F4-e003Coalescence-mGAM-p3_S71,1975,2335
H100-e003Coalescence-mBHI-p7_S139,1964,2327
G8-e003Coalescence-mBHI-p5_S29,1936,2315
G2-e003Coalescence-mBHI-p5_S25,1250,1318
G8-e003Coalescence-mGAM-p7_S173,1915,2315
E4-e003Coalescence-mBHI-p3_S11,614,770
E2-e003Coalescence-mGAM-p5_S49,1874,2314
H9-e003Coalescence-mBHI-p5_S42,1903,2275
H111-e003Coalescence-mGAM-p3_S192,1762,2129
F5-e003Coalescence-mBHI-p3_S24,1963,2325
E8-e003Coalescence-mBHI-p3_S105,1804,2282
E8-e003Coalescence-mGAM-p7_S149,1880,2310
H5-e003Coalescence-mBHI-p7_S136,1812,2114
G9-e003Coalescence-mBHI-p5_S30,1930,2299
F111-e003Coalescence-mBHI-p7_S116,1942,2290
F5-e003Coalescence-mBHI-p7_S112,1935,2284
F4-e003Coalescence-mGAM-p7_S159,1975,2331
F111-e003Coalescence-mBHI-p3_S120,1885,2246
H3-e003Coalescence-mGAM-p5_S86,1890,2250
E4-e003Coalescence-mBHI-p7_S99,1959,2312
H4-e003Coalescence-mGAM-p5_S87,1751,2115
E100-e003Coalescence-mGAM-p7_S151,1876,2305
G9-e003Coalescence-mGAM-p3_S178,1960,2321
H9-e003Coalescence-mBHI-p7_S138,1898,2243
H8-e003Coalescence-mGAM-p7_S185,1815,2195
G2-e003Coalescence-mGAM-p3_S81,1961,2327
F111-e003Coalescence-mBHI-p5_S20,1849,2166
F8-e003Coalescence-mBHI-p5_S17,1936,2295
G100-e003Coalescence-mBHI-p7_S127,1870,2188
E5-e003Coalescence-mGAM-p5_S52,1871,2222
