,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
G4-e003Coalescence-mGAM-p5_S75,0.47817840375586856,0.30781968051118214
G8-e003Coalescence-mBHI-p3_S129,0.7017358087921469,0.24587143769968053
E5-e003Coalescence-mGAM-p3_S60,0.37731626120358513,0.36931399361022366
G2-e003Coalescence-mGAM-p5_S73,0.47385189927443455,0.3055315015974441
E5-e003Coalescence-mGAM-p7_S148,0.3867925736235595,0.37180166134185305
H9-e003Coalescence-mGAM-p7_S186,0.3775475885616731,0.39240766773162944
E100-e003Coalescence-mGAM-p5_S55,0.7818672641912079,0.2300899680511182
E8-e003Coalescence-mGAM-p5_S53,0.8697690994451558,0.213248178913738
H5-e003Coalescence-mGAM-p3_S96,0.37816517285531365,0.36953226837060704
G4-e003Coalescence-mGAM-p3_S83,0.47787025181391385,0.3056256869009584
F4-e003Coalescence-mBHI-p7_S111,0.2960038412291934,0.5421260063897763
