,0
B10-e003Coalescence-mBHI-p5,141.0
B5-e003Coalescence-mBHI-p3,115.0
C4-e003Coalescence-mGAM-p5,60.0
C5-e003Coalescence-mGAM-p7,23.0
A2-e003Coalescence-mBHI-p7,157.0
A10-e003Coalescence-mBHI-p5,129.0
D2-e003Coalescence-mBHI-p7,5.0
D4-e003Coalescence-mGAM-p7,45.0
A8-e003Coalescence-mBHI-p7,534.0
C4-e003Coalescence-mGAM-p3,129.0
D5-e003Coalescence-mGAM-p7,10.0
C5-e003Coalescence-mBHI-p5,198.0
C5-e003Coalescence-mGAM-p3,78.0
A11-e003Coalescence-mBHI-p7,41.0
C3-e003Coalescence-mGAM-p5,27.0
A10-e003Coalescence-mGAM-p3,93.0
A9-e003Coalescence-mBHI-p3,259.0
D3-e003Coalescence-mBHI-p7,107.0
C3-e003Coalescence-mBHI-p5,178.0
A9-e003Coalescence-mBHI-p5,98.0
B2-e003Coalescence-mGAM-p3,53.0
C11-e003Coalescence-mGAM-p5,38.0
A8-e003Coalescence-mBHI-p5,202.0
D9-e003Coalescence-mBHI-p3,15.0
A5-e003Coalescence-mBHI-p7,247.0
D2-e003Coalescence-mGAM-p5,72.0
D3-e003Coalescence-mGAM-p3,44.0
D9-e003Coalescence-mGAM-p3,48.0
D3-e003Coalescence-mGAM-p5,101.0
C10-e003Coalescence-mGAM-p3,60.0
B9-e003Coalescence-mGAM-p7,32.0
B11-e003Coalescence-mGAM-p7,28.0
B5-e003Coalescence-mBHI-p7,119.0
A3-e003Coalescence-mGAM-p7,24.0
A4-e003Coalescence-mBHI-p5,128.0
B3-e003Coalescence-mBHI-p7,137.0
D10-e003Coalescence-mGAM-p7,99.0
C11-e003Coalescence-mGAM-p3,73.0
A10-e003Coalescence-mBHI-p7,186.0
C10-e003Coalescence-mBHI-p7,279.0
B9-e003Coalescence-mBHI-p5,251.0
B10-e003Coalescence-mBHI-p3,99.0
C11-e003Coalescence-mBHI-p5,183.0
A2-e003Coalescence-mGAM-p7,41.0
D10-e003Coalescence-mGAM-p3,37.0
B10-e003Coalescence-mGAM-p7,12.0
A9-e003Coalescence-mBHI-p7,328.0
D11-e003Coalescence-mGAM-p7,157.0
D5-e003Coalescence-mGAM-p3,98.0
A10-e003Coalescence-mGAM-p7,38.0
D9-e003Coalescence-mBHI-p5,95.0
D4-e003Coalescence-mGAM-p3,58.0
B9-e003Coalescence-mBHI-p7,92.0
A2-e003Coalescence-mGAM-p5,53.0
C3-e003Coalescence-mGAM-p7,89.0
B3-e003Coalescence-mGAM-p5,23.0
D9-e003Coalescence-mBHI-p7,86.0
C5-e003Coalescence-mBHI-p7,214.0
C11-e003Coalescence-mGAM-p7,38.0
D10-e003Coalescence-mBHI-p7,60.0
C9-e003Coalescence-mBHI-p7,41.0
A2-e003Coalescence-mBHI-p3,184.0
B8-e003Coalescence-mGAM-p5,31.0
B3-e003Coalescence-mBHI-p5,126.0
A8-e003Coalescence-mGAM-p7,35.0
A11-e003Coalescence-mBHI-p5,94.0
C10-e003Coalescence-mGAM-p5,137.0
A3-e003Coalescence-mBHI-p3,149.0
A2-e003Coalescence-mBHI-p5,257.0
C10-e003Coalescence-mBHI-p5,261.0
B9-e003Coalescence-mBHI-p3,89.0
B5-e003Coalescence-mGAM-p3,34.0
A5-e003Coalescence-mBHI-p3,34.0
A4-e003Coalescence-mBHI-p3,110.0
C9-e003Coalescence-mGAM-p5,62.0
C2-e003Coalescence-mGAM-p5,61.0
C8-e003Coalescence-mBHI-p5,581.0
B8-e003Coalescence-mGAM-p7,42.0
B8-e003Coalescence-mBHI-p7,104.0
B11-e003Coalescence-mBHI-p3,115.0
C4-e003Coalescence-mBHI-p5,637.0
A11-e003Coalescence-mBHI-p3,525.0
B2-e003Coalescence-mBHI-p7,21.0
B4-e003Coalescence-mBHI-p3,110.0
C2-e003Coalescence-mBHI-p7,17.0
A9-e003Coalescence-mGAM-p5,34.0
C10-e003Coalescence-mGAM-p7,264.0
A11-e003Coalescence-mGAM-p3,63.0
C10-e003Coalescence-mBHI-p3,325.0
D2-e003Coalescence-mBHI-p3,156.0
H5-e003Coalescence-mBHI-p5_S40,153.0
