,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
G5-e003Coalescence-mGAM-p3_S84,0.291005291005291,0.0
H8-e003Coalescence-mBHI-p5_S41,0.0,0.0
E100-e003Coalescence-mBHI-p5_S7,0.3915343915343915,0.0
G100-e003Coalescence-mGAM-p7_S175,0.6137566137566137,0.0
F9-e003Coalescence-mGAM-p7_S162,0.0,0.0
F8-e003Coalescence-mGAM-p7_S161,0.0,0.0
F3-e003Coalescence-mBHI-p3_S22,0.6216931216931217,0.5
G3-e003Coalescence-mBHI-p7_S122,0.47354497354497355,0.0
G5-e003Coalescence-mGAM-p5_S76,0.018518518518518517,0.0
G5-e003Coalescence-mGAM-p7_S172,0.04497354497354497,0.0
G4-e003Coalescence-mGAM-p5_S75,0.455026455026455,0.0
G8-e003Coalescence-mBHI-p3_S129,0.3862433862433862,0.0
E5-e003Coalescence-mGAM-p3_S60,0.013227513227513227,0.0
G2-e003Coalescence-mGAM-p5_S73,0.6349206349206349,0.0
E5-e003Coalescence-mGAM-p7_S148,0.0,0.0
H9-e003Coalescence-mGAM-p7_S186,0.0,0.0
E100-e003Coalescence-mGAM-p5_S55,0.4470899470899471,0.0
E8-e003Coalescence-mGAM-p5_S53,0.6402116402116402,0.0
H5-e003Coalescence-mGAM-p3_S96,0.010582010582010581,0.5
G4-e003Coalescence-mGAM-p3_S83,0.47883597883597884,0.0
F4-e003Coalescence-mBHI-p7_S111,0.5502645502645502,1.0
H3-e003Coalescence-mGAM-p7_S182,0.0026455026455026454,0.5
H5-e003Coalescence-mGAM-p5_S88,0.0,0.0
F4-e003Coalescence-mGAM-p5_S63,0.5873015873015873,0.0
G4-e003Coalescence-mGAM-p7_S171,0.46825396825396826,0.0
H8-e003Coalescence-mGAM-p5_S89,0.0,0.5
F3-e003Coalescence-mBHI-p5_S14,0.5978835978835979,0.0
F100-e003Coalescence-mBHI-p7_S115,0.007936507936507936,0.0
E3-e003Coalescence-mGAM-p7_S146,0.6005291005291006,0.5
F100-e003Coalescence-mGAM-p3_S167,0.3412698412698413,0.0
G100-e003Coalescence-mBHI-p3_S131,0.6455026455026455,0.0
G4-e003Coalescence-mBHI-p7_S123,0.6058201058201058,0.0
E9-e003Coalescence-mGAM-p3_S154,0.0,0.0
F3-e003Coalescence-mGAM-p5_S62,0.5925925925925926,0.5
H4-e003Coalescence-mBHI-p7_S135,0.0,0.0
E3-e003Coalescence-mBHI-p5_S2,0.34656084656084657,0.5
G111-e003Coalescence-mBHI-p7_S128,0.0,0.0
H3-e003Coalescence-mBHI-p5_S38,0.0,0.0
G3-e003Coalescence-mGAM-p3_S82,0.5079365079365079,0.0
F111-e003Coalescence-mGAM-p3_S168,0.0,0.0
F3-e003Coalescence-mGAM-p7_S158,0.48148148148148145,0.5
F8-e003Coalescence-mBHI-p7_S113,0.0,0.5
G2-e003Coalescence-mBHI-p7_S121,0.1693121693121693,0.5
H4-e003Coalescence-mBHI-p3_S47,0.0,0.0
F3-e003Coalescence-mBHI-p7_S110,0.2962962962962963,0.0
F100-e003Coalescence-mGAM-p5_S67,0.07407407407407407,0.0
G8-e003Coalescence-mBHI-p7_S125,0.455026455026455,0.0
F4-e003Coalescence-mBHI-p5_S15,0.5343915343915344,0.0
H111-e003Coalescence-mBHI-p5_S44,0.0,0.0
E111-e003Coalescence-mBHI-p7_S104,0.0,0.0
E2-e003Coalescence-mGAM-p3_S57,0.6507936507936508,0.5
F2-e003Coalescence-mBHI-p5_S13,0.5740740740740741,0.5
F4-e003Coalescence-mBHI-p3_S23,0.4021164021164021,0.0
F2-e003Coalescence-mGAM-p3_S69,0.5714285714285714,0.5
E9-e003Coalescence-mGAM-p5_S54,0.0,0.5
