genome_id,genome_name,rep_genome,length,contigs,species_id
1286171.3,Eubacterium acidaminophilum DSM 3953,1,3055036,0,Eubacterium_acidaminophilum_59952
1208314.3,Gordonia namibiensis NBRC 108229,1,4893853,61,Gordonia_namibiensis_59487
1207063.3,Oceanibaculum indicum P24,1,3931932,62,Oceanibaculum_indicum_59486
1207058.4,Hyphomonas sp. L-53-1-40,1,3310970,21,Hyphomonas_sp_59485
1207055.3,Sphingobium sp. C100,1,4752623,199,Sphingobium_sp_59484
67275.4,Streptomyces aureocirculatus,1,9321140,223,Streptomyces_aureocirculatus_33757
67257.8,Streptomyces albus subsp. albus,1,8322460,100,Streptomyces_baarnensis_54275
1120968.3,Algoriphagus vanfongensis DSM 17529,1,4707695,15,Algoriphagus_vanfongensis_58686
1120969.3,Aliagarivorans marinus DSM 23064,1,4871017,44,Aliagarivorans_marinus_58687
1120966.3,Algoriphagus marincola DSM 16067,1,4415968,29,Algoriphagus_marincola_58684
1120967.3,Algoriphagus terrigena DSM 22685,1,5774291,57,Algoriphagus_terrigena_58685
1120963.3,Algicola sagamiensis DSM 14643,1,4336382,39,Algicola_sagamiensis_58682
1120965.3,Algoriphagus mannitolivorans DSM 15301,1,4148911,22,Algoriphagus_mannitolivorans_58683
1120959.3,Agromyces italicus DSM 16388,1,3730505,12,Agromyces_italicus_58680
1120960.3,Agromyces subbeticus DSM 16689,1,4303916,34,Agromyces_subbeticus_58681
1120970.3,Aliagarivorans taiwanensis DSM 22990,1,4403125,78,Aliagarivorans_taiwanensis_58688
1120971.3,Alicyclobacillus contaminans DSM 17975,1,3265629,108,Alicyclobacillus_contaminans_58689
1089552.3,Rhodovibrio salinarum DSM 9154,1,4176324,3,Rhodovibrio_salinarum_58538
1089553.3,Thermacetogenium phaeum DSM 12270,1,2939057,0,Thermacetogenium_phaeum_58539
1089548.3,Thermicanus aegyptius DSM 12793,1,3655626,10,Thermicanus_aegyptius_58534
1089549.3,Haloglycomyces albus DSM 45210,1,3535419,1,Haloglycomyces_albus_58535
1089550.3,Salisaeta longa DSM 21114,1,3399024,3,Salisaeta_longa_58536
1089551.3,Geminicoccus roseus DSM 18922,1,5698270,6,Geminicoccus_roseus_58537
1089544.3,Amycolatopsis benzoatilytica AK 16/65,1,8696793,3,Amycolatopsis_benzoatilytica_58530
1089545.3,Amycolatopsis balhimycina FH 1894,1,10851479,8,Amycolatopsis_balhimycina_58531
1089546.3,Actinopolyspora halophila DSM 43834,1,5353291,2,Actinopolyspora_halophila_58532
1089547.3,Rudanella lutea DSM 19387,1,6542451,10,Rudanella_lutea_58533
1122135.3,Kiloniella laminariae DSM 19542,1,4425174,34,Kiloniella_laminariae_58896
1354300.3,Peptoniphilus sp. ChDC B134,1,1499757,5,Peptoniphilus_sp_55103
1329903.3,Mannheimia haemolytica MhSwine2000,1,2707909,73,Mannheimia_haemolytica_55106
979982.3,Leuconostoc sp. C2,1,1877273,0,Leuconostoc_sp_62637
97139.3,Clostridium sp. ASF502,1,6352860,120,Clostridium_sp_62634
979226.3,Cohnella panacarvi Gsoil 349,1,4771825,11,Cohnella_panacarvi_62635
97137.3,Lactobacillus sp. ASF360,1,1808344,191,Lactobacillus_sp_62632
477228.3,Pseudomonas stutzeri TS44,1,4266425,70,Pseudomonas_stutzeri_61602
97138.3,Clostridium sp. ASF356,1,2898272,29,Clostridium_sp_62633
96561.5,Desulfococcus oleovorans Hxd3,1,3944167,0,Desulfococcus_oleovorans_62630
96765.3,Microbacterium sp. B19,1,3562725,457,Microbacterium_sp_62631
47763.4,Streptomyces lydicus,1,8181440,131,Streptomyces_lydicus_61603
476281.3,Candidatus Ishikawaella capsulata Mpkobe,1,754729,2,Ishikawaella_capsulata_61600
1169168.3,Salinispora arenicola CNS744,1,5731353,92,Salinispora_arenicola_57470
500633.7,Clostridium hiranonis DSM 13275,1,2470519,18,Clostridium_hiranonis_61655
915438.3,Xylanibacter oryzae DSM 17970,1,3287891,2,Xylanibacter_oryzae_62511
500632.7,Clostridium nexile DSM 1787,1,3966449,66,Clostridium_nexile_61654
500637.6,Providencia rustigianii DSM 4541,1,7897800,51,Providencia_rustigianii_61657
500635.8,Mitsuokella multacida DSM 20544,1,2576554,5,Mitsuokella_multacida_61656
349124.8,Halorhodospira halophila SL1,1,2678452,0,Halorhodospira_halophila_61303
498761.4,Heliobacterium modesticaldum Ice1,1,3075407,0,Heliobacterium_modesticaldum_61650
500153.3,Streptomyces avicenniae,1,6480330,66,Streptomyces_avicenniae_61653
996634.5,Corynebacterium ulcerans 0102,1,2579188,0,Corynebacterium_ulcerans_56105
345632.6,Geobacter pickeringii G13,1,3618700,1,Geobacter_pickeringii_61300
1292042.3,Arthrobacter nicotinovorans 26Cvi1.1E,1,4682479,27,Arthrobacter_nicotinovorans_56451
794903.4,Opitutaceae bacterium TAV5,1,7397142,21,Opitutaceae_bacterium_56450
1125722.3,Porphyromonas gingivalis W50,1,2242062,104,Porphyromonas_gingivalis_56101
157782.3,Pseudomonas parafulva,1,5087619,1,Pseudomonas_parafulva_56100
1283.23,Staphylococcus haemolyticus C10A,1,2430312,87,Staphylococcus_haemolyticus_57278
33934.3,Anoxybacillus flavithermus,1,2838680,212,Anoxybacillus_ayderensis_57275
715.17,Actinobacillus pleuropneumoniae 5651,1,2264279,53,Actinobacillus_pleuropneumoniae_57270
572265.5,Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum),1,2169363,0,Hamiltonella_defensa_57271
477641.3,Modestobacter marinus,1,5575517,0,Modestobacter_marinus_61604
1414721.3,Clostridium sp. JCD,1,3605739,97,Clostridium_sp_57418
1040985.3,Mesorhizobium sp. WSM2561,1,7032588,114,Mesorhizobium_sp_57412
743299.4,Acidithiobacillus ferrivorans SS3,1,3145707,51,Acidithiobacillus_ferrivorans_57413
684949.3,Deinococcus sp. 2009,1,4019382,6,Deinococcus_ficus_57410
1210443.6,Pseudomonas stutzeri T13,1,4633781,61,Pseudomonas_stutzeri_57416
1297862.3,Afipia sp. OHSU_I-uncloned,1,5082619,45,Afipia_sp_42814
1194526.3,Staphylococcus warneri SG1,1,2560716,0,Staphylococcus_warneri_58053
1118056.3,Anaerococcus obesiensis ph10,1,2012789,31,Anaerococcus_obesiensis_58051
1235461.3,Sinorhizobium meliloti GR4,1,3618794,0,Sinorhizobium_meliloti_58050
1449064.3,Paenibacillus sp. UNCCL52,1,5913250,35,Paenibacillus_polymyxa_58056
1414720.3,Clostridium sp. JCC,1,3643777,91,Clostridium_sp_60465
1414719.3,Corynebacterium sp. JCB,1,2454072,225,Corynebacterium_sp_60464
1415166.3,Nocardia nova SH22a,1,8348532,0,Nocardia_nova_60467
1414851.3,Pelistega sp. HM-7,1,2504209,146,Pelistega_sp_60466
1410950.3,Tannerella sp. oral taxon BU063 isolate Cell 5,1,3044207,321,Tannerella_sp_60461
1410676.3,Succinivibrio dextrinosolvens H5,1,2675470,106,Succinivibrio_dextrinosolvens_60460
1411685.3,Gammaproteobacteria bacterium MOLA455,1,2599550,3,Gammaproteobacteria_bacterium_60463
1411123.3,Rhizobiales bacterium YIM 77505,1,4191300,1,Rhizobiales_bacterium_60462
1415755.3,Halomonas sp. TG39a,1,4979190,2,Halomonas_sp_60469
1415630.3,Pseudomonas sp. TKP,1,7012672,0,Pseudomonas_sp_60468
1423.136,Bacillus subtilis ATCC 13952,1,3876276,1,Bacillus_amyloliquefaciens_53752
887306.3,Campylobacter coli LMG 23344,1,1748291,126,Campylobacter_coli_58237
1000589.3,Streptococcus dysgalactiae subsp. equisimilis SK1249,1,2140445,215,Streptococcus_dysgalactiae_58236
1122992.4,Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,1,3153143,124,Prevotella_timonensis_58235
1122238.3,Microbacterium indicum DSM 19969,1,2803754,28,Microbacterium_indicum_58946
981327.3,Acinetobacter lwoffii NCTC 5866 = CIP 64.10,1,3312451,195,Acinetobacter_lwoffii_58233
1122224.3,Melitea salexigens DSM 19753,1,3434221,22,Melitea_salexigens_58940
1122228.3,Metascardovia criceti DSM 17774,1,1884654,11,Metascardovia_criceti_58943
1281779.3,Agrobacterium tumefaciens str. Cherry 2E-2-2,1,5413622,106,Agrobacterium_tumefaciens_58230
1122243.3,Moraxella boevrei DSM 14165,1,2418195,42,Moraxella_boevrei_58949
1122240.3,Microvirgula aerodenitrificans DSM 15089,1,4039310,58,Microvirgula_aerodenitrificans_58948
1232454.3,Clostridiales bacterium VE202-26,1,3909471,22,Clostridium_scindens_58238
797473.3,Cardiobacterium valvarum F0432,1,2527950,162,Cardiobacterium_valvarum_62319
796942.3,Stomatobaculum longum,1,2305218,14,Stomatobaculum_longum_62318
795955.3,Nesterenkonia sp. F,1,2797464,130,Nesterenkonia_sp_62315
795666.3,Ralstonia sp. PBA,1,3814356,34,Ralstonia_sp_62314
796620.3,Vibrio caribbenthicus ATCC BAA-2122,1,4385070,89,Vibrio_caribbenthicus_62317
796606.3,Bacillus methanolicus MGA3,1,3425210,3,Bacillus_methanolicus_62316
78245.7,Xanthobacter autotrophicus Py2,1,5625098,0,Xanthobacter_autotrophicus_62311
771875.3,Fervidobacterium pennivorans DSM 9078,1,2166381,0,Fervidobacterium_pennivorans_62310
795359.3,Thermodesulfobacterium geofontis OPF15,1,1634377,0,Thermodesulfobacterium_geofontis_62313
794846.3,Sinorhizobium sp. CCBAU 05631,1,6278920,217,Sinorhizobium_sp_62312
115711.1,Chlamydophila pneumoniae AR39,1,1229853,0,Chlamydophila_pneumoniae_54194
1094559.3,Bartonella tamiae Th307,1,2243835,9,Bartonella_tamiae_48051
1216932.3,Clostridium sp. M2/40,1,3617020,2,Clostridium_sp_59546
1216962.3,Helicobacter heilmannii ASB1.4,1,1804601,0,Helicobacter_heilmannii_59547
1215915.3,Lactococcus raffinolactis 4877,1,2275452,126,Lactococcus_raffinolactis_59544
1216007.3,Pseudoalteromonas ruthenica CP76,1,3997162,113,Pseudoalteromonas_ruthenica_59545
1215104.3,Pseudomonas japonica NBRC 103040 = DSM 22348,1,6663130,162,Pseudomonas_japonica_59542
1123032.3,Psychrilyobacter atlanticus DSM 19335,1,3530952,5,Psychrilyobacter_atlanticus_59015
1123033.3,Psychrobacter lutiphocae DSM 21542,1,3161579,85,Psychrobacter_lutiphocae_59016
1123034.3,Psychrobacter phenylpyruvicus DSM 7000,1,3098050,106,Psychrobacter_phenylpyruvicus_59017
1123035.3,Psychroflexus tropicus DSM 15496,1,2991140,25,Psychroflexus_tropicus_59018
1123036.3,Psychromonas arctica DSM 14288,1,4719980,106,Psychromonas_arctica_59019
1216966.6,Edwardsiella hoshinae NBRC 105699,1,3675224,87,Edwardsiella_hoshinae_59548
1217052.3,Ralstonia sp. A12,1,6104714,60,Ralstonia_sp_59549
254945.25,Ehrlichia ruminantium str. Welgevonden,1,1512977,0,Ehrlichia_ruminantium_55555
553206.4,Corynebacterium tuberculostearicum SK141,1,2363930,31,Corynebacterium_tuberculostearicum_61783
553204.6,Corynebacterium amycolatum SK46,1,2508284,46,Corynebacterium_amycolatum_61782
553184.4,Atopobium rimae ATCC 49626,1,1620446,7,Atopobium_rimae_61781
553178.3,Capnocytophaga gingivalis ATCC 33624,1,2665755,35,Capnocytophaga_gingivalis_61780
2325.3,Thermoanaerobacter kivui DSM 2030,1,2397824,1,Thermoanaerobacter_kivui_61039
232363.3,Synechococcus sp. CB0205,1,2419021,73,Synechococcus_sp_61038
553218.4,Campylobacter rectus RM3267,1,2496160,75,Campylobacter_rectus_61785
553217.3,Enhydrobacter aerosaccus SK60,1,2694985,82,Enhydrobacter_aerosaccus_61784
